================================================================================
BB vs SB - HANDS THAT DON'T SUM TO 100%
================================================================================

Hand   Fold %     Call %     3bet %     Total      Missing   
--------------------------------------------------------------------------------
22     0.0        66.9       0.0        66.9       33.1      
33     0.0        69.3       0.0        69.3       30.7      
42s    0.0        0.0        0.0        0.0        100.0     
43s    0.0        34.4       0.1        34.5       65.5      
44     0.0        73.5       0.0        73.5       26.5      
52s    0.0        0.0        0.0        0.0        100.0     
53s    0.0        61.6       0.0        61.6       38.4      
54o    37.2       0.0        0.0        37.2       62.8      
54s    0.0        16.0       65.1       81.2       18.8      
55     0.0        73.9       1.5        75.4       24.6      
62s    64.0       0.0        0.0        64.0       36.0      
63s    0.0        7.2        0.0        7.2        92.8      
64s    0.0        75.1       0.0        75.1       24.9      
65o    25.4       0.0        0.0        25.4       74.6      
65s    0.0        12.9       75.6       88.6       11.4      
66     0.0        50.7       24.3       75.0       25.0      
73s    16.5       0.0        0.0        16.5       83.5      
74s    0.0        58.5       0.0        58.5       41.5      
75s    0.0        70.9       0.0        70.9       29.1      
76o    25.4       2.3        0.0        27.7       72.3      
76s    0.0        6.5        82.4       88.9       11.1      
77     0.0        60.3       12.9       73.2       26.8      
84s    0.0        0.3        0.0        0.3        99.7      
85s    0.0        81.6       0.0        81.6       18.4      
86s    0.0        72.8       0.0        72.8       27.2      
87o    25.4       28.6       0.0        54.0       46.0      
87s    0.0        17.4       57.2       74.6       25.4      
88     0.0        53.0       22.9       75.8       24.2      
94s    90.4       0.0        0.0        90.4       9.6       
95s    0.0        32.5       4.6        37.1       62.9      
96s    0.0        79.6       0.0        79.7       20.3      
97o    75.1       0.0        0.0        75.2       24.8      
97s    0.0        72.8       1.2        73.9       26.1      
98o    0.2        62.0       3.2        65.4       34.6      
98s    0.0        1.3        57.8       59.2       40.8      
99     0.0        28.9       52.2       81.0       19.0      
A2o    3.1        0.0        0.0        3.1        96.9      
A2s    0.0        55.0       2.8        57.9       42.1      
A3o    0.0        29.3       18.2       47.5       52.5      
A3s    0.0        47.5       19.6       67.1       32.9      
A4o    0.0        45.0       21.2       66.1       33.9      
A4s    0.0        24.5       52.4       76.9       23.1      
A5o    0.0        65.5       12.2       77.7       22.3      
A5s    0.0        0.4        77.2       77.5       22.5      
A6o    0.0        31.8       37.2       68.9       31.1      
A6s    0.0        60.1       0.0        60.1       39.9      
A7o    0.0        48.6       36.8       85.4       14.6      
A7s    0.0        77.2       0.0        77.3       22.7      
A8o    0.0        91.5       2.0        93.5       6.5       
A8s    0.0        90.0       3.8        93.8       6.2       
A9o    0.0        92.2       0.1        92.3       7.7       
A9s    0.0        97.5       0.0        97.5       2.5       
AA     0.0        0.0        88.6       88.6       11.4      
AJo    0.0        60.1       19.8       79.9       20.1      
AKo    0.0        0.0        78.3       78.3       21.7      
AQo    0.0        2.4        82.3       84.7       15.3      
ATo    0.0        77.4       0.0        77.4       22.6      
J2s    0.0        12.0       4.3        16.2       83.8      
J3s    0.0        36.0       12.4       48.5       51.5      
J4s    0.0        47.9       25.9       73.8       26.2      
J5s    0.0        35.7       41.4       77.1       22.9      
J6s    0.0        60.3       21.7       82.0       18.0      
J7s    0.0        86.0       0.0        86.0       14.0      
J8o    4.6        9.8        14.1       28.5       71.5      
J8s    0.0        64.3       0.0        64.3       35.7      
J9o    0.0        36.8       25.6       62.4       37.6      
J9s    0.0        68.3       7.7        76.0       24.0      
JJ     0.0        0.0        83.8       83.8       16.2      
JTo    0.0        69.3       0.0        69.4       30.6      
JTs    0.0        3.8        92.6       96.4       3.6       
K2s    0.0        85.1       0.0        85.1       14.9      
K3s    0.0        69.4       0.0        69.4       30.6      
K4s    0.0        75.8       0.0        75.9       24.1      
K5o    82.7       0.0        0.0        82.7       17.3      
K5s    0.0        70.4       0.0        70.4       29.6      
K6o    58.0       0.0        0.0        58.0       42.0      
K6s    0.0        76.5       0.0        76.5       23.5      
K7o    2.4        3.1        4.4        9.9        90.1      
K7s    0.0        65.9       0.0        65.9       34.1      
K8o    0.1        31.3       31.4       62.8       37.2      
K8s    0.0        69.8       0.0        69.8       30.2      
K9o    0.0        55.4       23.3       78.8       21.2      
K9s    0.0        49.5       32.7       82.2       17.8      
KJo    0.0        76.0       0.0        76.0       24.0      
KJs    0.0        0.2        98.2       98.4       1.6       
KK     0.0        0.0        83.0       83.0       17.0      
KQo    0.0        58.1       20.9       79.0       21.0      
KQs    0.0        0.0        98.9       98.9       1.1       
KTo    0.0        69.5       4.5        74.0       26.0      
KTs    0.0        23.4       74.4       97.8       2.2       
Q2s    0.0        72.1       0.0        72.1       27.9      
Q3s    0.0        73.5       0.0        73.5       26.5      
Q4s    0.0        73.0       0.0        73.0       27.0      
Q5s    0.0        85.4       0.0        85.4       14.6      
Q6s    0.0        83.7       0.0        83.7       16.3      
Q7s    0.0        79.8       0.0        79.8       20.2      
Q8o    33.0       3.8        5.8        42.6       57.4      
Q8s    0.0        72.1       0.0        72.1       27.9      
Q9o    0.0        39.2       26.6       65.8       34.2      
Q9s    0.0        67.3       0.0        67.3       32.7      
QJo    0.0        72.4       0.0        72.4       27.6      
QJs    0.0        14.6       84.0       98.5       1.5       
QQ     0.0        0.0        86.4       86.4       13.6      
QTo    0.0        69.6       3.2        72.8       27.2      
QTs    0.0        28.7       63.9       92.5       7.5       
T2s    0.0        0.0        0.0        0.0        100.0     
T3s    0.0        0.1        0.1        0.1        99.9      
T4s    0.0        2.0        2.3        4.3        95.7      
T5s    0.0        20.1       27.4       47.5       52.5      
T6s    0.0        55.5       28.0       83.5       16.5      
T7o    85.7       0.0        0.0        85.7       14.3      
T7s    0.0        80.6       0.0        80.6       19.4      
T8o    0.1        34.1       27.0       61.1       38.9      
T8s    0.0        63.1       7.2        70.2       29.8      
T9o    0.0        64.9       8.8        73.7       26.3      
T9s    0.0        0.7        81.3       82.1       17.9      
TT     0.0        0.1        82.1       82.1       17.9      
